loan_id,no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term,fico_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
1086,5, Not Graduate, Yes,96000,296000,4,446,229000,35000,366000,132000, Approved
1087,0, Graduate, Yes,77000,181000,18,705,61000,51000,238000,63000, Approved
1088,3, Not Graduate, Yes,70000,152000,2,709,103000,125000,207000,40000, Approved
1089,4, Not Graduate, Yes,78000,195000,14,739,19000,90000,204000,44000, Approved
1090,3, Graduate, No,51000,110000,6,336,-1000,58000,116000,75000, Rejected
1091,4, Graduate, No,94000,326000,4,898,182000,40000,220000,102000, Approved
1092,4, Not Graduate, Yes,6000,21000,6,558,13000,10000,22000,3000, Approved
1093,3, Graduate, No,51000,133000,4,589,112000,27000,202000,61000, Approved
1094,2, Graduate, Yes,38000,144000,2,301,23000,14000,76000,24000, Rejected
1095,2, Not Graduate, Yes,53000,212000,14,516,22000,50000,209000,77000, Rejected
1096,5, Not Graduate, No,11000,36000,12,315,13000,7000,31000,14000, Rejected
1097,3, Not Graduate, No,64000,144000,10,546,106000,100000,212000,51000, Rejected
1098,0, Not Graduate, Yes,51000,145000,14,559,110000,11000,123000,60000, Approved
1099,3, Graduate, Yes,53000,169000,2,350,158000,31000,143000,68000, Approved
1100,1, Graduate, No,67000,187000,8,583,93000,41000,171000,69000, Approved
1101,2, Not Graduate, No,40000,94000,8,874,44000,37000,102000,48000, Approved
1102,2, Not Graduate, Yes,39000,116000,8,808,58000,31000,129000,50000, Approved
1103,1, Graduate, Yes,16000,49000,16,487,43000,11000,39000,20000, Rejected
1104,3, Graduate, No,27000,78000,14,870,54000,53000,57000,21000, Approved
1105,3, Graduate, No,14000,38000,8,840,17000,2000,53000,15000, Approved
1106,4, Not Graduate, Yes,80000,192000,18,682,25000,89000,190000,53000, Approved
1107,3, Graduate, Yes,82000,289000,10,668,238000,45000,287000,109000, Approved
1108,5, Graduate, Yes,48000,103000,8,781,48000,68000,111000,43000, Approved
1109,4, Graduate, No,81000,190000,6,375,41000,145000,191000,119000, Rejected
1110,4, Not Graduate, No,59000,149000,14,857,26000,95000,160000,35000, Approved
1111,5, Graduate, Yes,81000,321000,6,823,182000,18000,241000,65000, Approved
1112,0, Graduate, No,14000,50000,8,686,18000,19000,32000,15000, Approved
1113,1, Graduate, No,16000,63000,2,721,30000,6000,52000,9000, Approved
1114,4, Graduate, No,46000,94000,18,545,8000,24000,115000,63000, Rejected
1115,1, Not Graduate, No,29000,89000,6,523,9000,56000,97000,18000, Rejected
1116,2, Graduate, Yes,86000,249000,20,607,136000,76000,318000,54000, Approved
1117,4, Not Graduate, No,38000,149000,20,428,65000,35000,122000,25000, Rejected
1118,0, Not Graduate, No,82000,203000,4,666,131000,102000,259000,78000, Approved
1119,3, Graduate, No,32000,101000,20,704,34000,48000,90000,39000, Approved
1120,0, Not Graduate, Yes,81000,238000,10,794,54000,155000,207000,88000, Approved
1121,1, Graduate, Yes,98000,233000,12,430,32000,126000,305000,139000, Rejected
1122,0, Not Graduate, No,2000,5000,20,615,5000,2000,6000,2000, Approved
1123,0, Not Graduate, No,66000,141000,20,360,68000,51000,254000,78000, Rejected
1124,0, Not Graduate, No,91000,183000,14,458,61000,92000,341000,100000, Rejected
1125,2, Not Graduate, No,55000,204000,12,887,88000,94000,123000,33000, Approved
1126,4, Not Graduate, No,72000,274000,8,735,141000,142000,194000,95000, Approved
1127,1, Not Graduate, No,24000,56000,16,379,37000,6000,72000,34000, Rejected
1128,4, Graduate, No,96000,255000,20,544,40000,114000,238000,111000, Rejected
1129,1, Graduate, Yes,58000,167000,12,721,11000,97000,172000,75000, Approved
1130,4, Not Graduate, No,23000,60000,8,676,60000,4000,48000,22000, Approved
1131,1, Not Graduate, No,3000,12000,4,342,8000,1000,11000,2000, Approved
1132,0, Not Graduate, No,99000,270000,16,566,35000,173000,369000,115000, Approved
1133,2, Not Graduate, No,35000,140000,2,355,87000,16000,118000,29000, Approved
1134,2, Graduate, No,48000,185000,20,605,57000,55000,147000,58000, Approved
1135,2, Not Graduate, No,16000,52000,16,525,3000,29000,56000,16000, Rejected
1136,5, Graduate, Yes,8000,25000,12,403,5000,0,32000,8000, Rejected
1137,1, Graduate, Yes,90000,335000,18,727,188000,105000,281000,53000, Approved
1138,1, Graduate, No,83000,289000,12,529,183000,39000,325000,58000, Rejected
1139,4, Graduate, No,28000,61000,18,415,22000,42000,84000,20000, Rejected
1140,1, Graduate, Yes,64000,173000,10,879,100000,11000,154000,82000, Approved
1141,2, Not Graduate, Yes,60000,126000,16,649,48000,53000,239000,51000, Approved
1142,0, Graduate, No,29000,98000,16,395,54000,43000,86000,24000, Rejected
1143,0, Graduate, No,65000,241000,20,488,33000,60000,229000,97000, Rejected
1144,1, Graduate, Yes,2000,4000,8,569,2000,2000,7000,3000, Approved
1145,1, Not Graduate, No,84000,246000,14,817,18000,131000,313000,82000, Approved
1146,1, Graduate, Yes,61000,178000,20,706,160000,109000,169000,43000, Approved
1147,2, Graduate, Yes,80000,312000,8,553,68000,35000,210000,103000, Approved
1148,5, Not Graduate, Yes,9000,18000,14,464,23000,3000,18000,7000, Rejected
1149,2, Graduate, No,73000,200000,6,729,131000,107000,179000,91000, Approved
1150,4, Not Graduate, Yes,37000,74000,12,363,48000,68000,105000,44000, Rejected
1151,2, Graduate, No,52000,172000,12,565,35000,13000,200000,63000, Approved
1152,1, Graduate, No,72000,210000,14,421,35000,116000,218000,46000, Rejected
1153,0, Not Graduate, Yes,94000,342000,10,512,131000,156000,326000,63000, Rejected
1154,3, Not Graduate, Yes,34000,124000,2,730,25000,39000,122000,46000, Approved
1155,0, Graduate, No,6000,23000,8,627,18000,5000,22000,3000, Approved
1156,0, Not Graduate, Yes,33000,100000,16,434,30000,41000,129000,41000, Rejected
1157,2, Graduate, Yes,59000,143000,2,410,119000,44000,169000,41000, Rejected
1158,3, Not Graduate, No,13000,36000,16,624,24000,23000,33000,19000, Approved
1159,4, Graduate, Yes,57000,169000,4,656,130000,74000,220000,84000, Approved
1160,2, Not Graduate, No,77000,273000,16,758,73000,46000,248000,91000, Approved
1161,4, Not Graduate, Yes,70000,235000,18,336,150000,95000,197000,78000, Rejected
1162,5, Graduate, No,81000,219000,18,378,52000,34000,162000,96000, Rejected
1163,1, Graduate, Yes,19000,42000,4,620,47000,28000,75000,9000, Approved
1164,2, Graduate, No,45000,91000,18,593,-1000,6000,124000,25000, Approved
1165,0, Not Graduate, Yes,96000,340000,12,710,238000,103000,381000,78000, Approved
1166,1, Not Graduate, Yes,54000,207000,8,753,19000,8000,190000,36000, Approved
1167,1, Not Graduate, Yes,78000,272000,16,454,161000,34000,171000,114000, Rejected
1168,1, Graduate, Yes,82000,191000,8,619,172000,122000,315000,66000, Approved
1169,2, Graduate, No,89000,285000,6,367,222000,166000,215000,93000, Rejected
1170,1, Graduate, No,14000,31000,20,384,2000,12000,42000,18000, Rejected
1171,2, Graduate, No,17000,59000,16,610,31000,3000,37000,13000, Approved
1172,0, Graduate, No,53000,195000,12,802,98000,33000,152000,32000, Approved
1173,3, Graduate, No,65000,252000,10,858,154000,109000,140000,81000, Approved
1174,2, Graduate, No,59000,140000,8,599,47000,95000,178000,67000, Approved
1175,4, Graduate, Yes,98000,270000,2,395,187000,30000,230000,97000, Rejected
1176,3, Graduate, Yes,77000,162000,6,380,115000,151000,225000,64000, Rejected
1177,1, Graduate, No,79000,271000,10,803,200000,98000,222000,66000, Approved
1178,4, Graduate, No,35000,89000,20,809,71000,15000,137000,32000, Approved
1179,4, Not Graduate, No,24000,66000,2,722,61000,33000,56000,30000, Approved
1180,5, Graduate, No,99000,357000,10,392,79000,43000,392000,130000, Rejected
1181,0, Graduate, No,39000,145000,8,545,59000,30000,103000,34000, Rejected
1182,2, Not Graduate, Yes,73000,285000,10,799,215000,31000,158000,43000, Approved
1183,0, Graduate, Yes,64000,219000,12,727,154000,101000,240000,53000, Approved
1184,4, Graduate, No,71000,198000,18,530,71000,34000,209000,71000, Rejected
1185,2, Not Graduate, No,88000,190000,14,637,137000,139000,271000,61000, Approved
1186,5, Graduate, No,74000,210000,4,561,213000,38000,264000,39000, Approved
1187,2, Not Graduate, No,44000,120000,20,421,93000,27000,157000,34000, Rejected
1188,3, Graduate, Yes,86000,303000,14,459,120000,41000,238000,91000, Rejected
1189,3, Not Graduate, No,69000,260000,14,828,148000,42000,185000,36000, Approved
1190,4, Graduate, No,96000,275000,20,679,234000,75000,378000,63000, Approved
1191,2, Graduate, Yes,81000,257000,8,455,223000,115000,198000,95000, Rejected
1192,0, Not Graduate, No,26000,94000,18,879,28000,14000,51000,23000, Approved
1193,3, Graduate, Yes,93000,261000,14,636,47000,161000,345000,116000, Approved
1194,2, Not Graduate, Yes,21000,56000,16,426,4000,3000,71000,12000, Rejected
1195,4, Not Graduate, Yes,90000,215000,14,508,166000,173000,243000,131000, Rejected
1196,3, Not Graduate, Yes,70000,192000,4,768,86000,137000,192000,77000, Approved
1197,3, Not Graduate, No,22000,64000,20,667,63000,39000,83000,29000, Approved
1198,5, Graduate, Yes,75000,282000,2,440,82000,58000,244000,60000, Approved
1199,1, Graduate, Yes,83000,168000,2,366,220000,66000,273000,45000, Rejected
1200,2, Not Graduate, No,3000,6000,2,383,6000,3000,11000,4000, Rejected
1201,0, Not Graduate, Yes,3000,8000,4,603,8000,2000,6000,2000, Approved
1202,3, Graduate, No,39000,149000,4,728,47000,40000,149000,55000, Approved
1203,0, Not Graduate, No,66000,203000,6,549,108000,9000,231000,98000, Rejected
1204,0, Graduate, No,41000,107000,8,855,115000,7000,112000,31000, Approved
1205,5, Graduate, Yes,18000,53000,12,461,28000,20000,47000,20000, Rejected
1206,3, Not Graduate, Yes,70000,161000,16,379,20000,52000,230000,100000, Rejected
1207,2, Not Graduate, Yes,51000,137000,6,559,78000,98000,127000,51000, Approved
1208,1, Not Graduate, Yes,3000,6000,8,816,6000,3000,11000,2000, Approved
1209,4, Not Graduate, Yes,43000,114000,2,560,100000,39000,89000,33000, Approved
1210,0, Graduate, Yes,32000,120000,14,645,52000,14000,121000,34000, Approved
1211,4, Not Graduate, Yes,42000,115000,6,551,106000,76000,113000,50000, Approved
1212,0, Not Graduate, Yes,96000,229000,8,515,43000,147000,333000,78000, Rejected
1213,4, Graduate, No,13000,36000,10,657,32000,19000,29000,11000, Approved
1214,3, Not Graduate, No,24000,93000,2,682,31000,44000,52000,15000, Approved
1215,0, Graduate, No,6000,16000,10,588,16000,1000,11000,3000, Approved
1216,5, Graduate, Yes,96000,380000,10,359,21000,136000,382000,94000, Rejected
1217,0, Graduate, No,4000,12000,4,766,9000,3000,12000,3000, Approved
1218,4, Graduate, No,59000,199000,14,469,142000,68000,221000,32000, Rejected
1219,0, Graduate, Yes,7000,14000,10,618,13000,2000,17000,5000, Approved
1220,0, Not Graduate, Yes,86000,177000,20,711,220000,0,308000,74000, Approved
1221,0, Graduate, Yes,90000,340000,4,549,20000,89000,200000,124000, Approved
1222,3, Graduate, Yes,51000,204000,6,754,17000,26000,118000,76000, Approved
1223,4, Not Graduate, Yes,5000,15000,6,461,13000,5000,17000,2000, Rejected
1224,2, Graduate, No,16000,38000,10,837,38000,11000,55000,16000, Approved
1225,0, Graduate, Yes,98000,239000,14,459,10000,134000,211000,72000, Rejected
1226,4, Graduate, No,78000,297000,20,614,220000,7000,268000,63000, Approved
1227,4, Not Graduate, No,65000,240000,16,373,56000,51000,156000,67000, Rejected
1228,5, Graduate, Yes,75000,265000,12,512,165000,29000,237000,60000, Rejected
1229,4, Graduate, Yes,89000,234000,18,781,165000,31000,249000,58000, Approved
1230,4, Graduate, Yes,18000,58000,14,305,6000,33000,36000,20000, Rejected
1231,1, Not Graduate, Yes,76000,278000,6,447,13000,7000,201000,109000, Rejected
1232,4, Graduate, Yes,12000,46000,6,757,19000,2000,48000,15000, Approved
1233,5, Graduate, Yes,27000,104000,2,723,28000,7000,103000,14000, Approved
1234,1, Not Graduate, Yes,46000,109000,12,463,12000,12000,109000,66000, Rejected
1235,2, Not Graduate, No,69000,187000,10,699,128000,57000,212000,52000, Approved
1236,4, Graduate, Yes,84000,252000,2,308,81000,93000,277000,105000, Approved
1237,0, Graduate, No,3000,5000,18,702,3000,4000,12000,1000, Approved
1238,2, Not Graduate, Yes,95000,375000,4,456,102000,168000,341000,129000, Approved
1239,3, Graduate, Yes,19000,59000,8,651,7000,21000,62000,15000, Approved
1240,3, Not Graduate, No,42000,145000,20,840,45000,59000,89000,46000, Approved
1241,4, Graduate, Yes,22000,79000,18,848,51000,17000,85000,16000, Approved
1242,5, Graduate, Yes,71000,197000,4,727,77000,129000,236000,58000, Approved
1243,4, Graduate, No,35000,116000,10,335,63000,52000,103000,23000, Rejected
1244,5, Not Graduate, No,4000,8000,18,304,9000,5000,14000,4000, Rejected
1245,2, Graduate, Yes,88000,344000,2,712,105000,125000,293000,59000, Approved
1246,0, Not Graduate, No,18000,66000,10,737,50000,20000,60000,15000, Approved
1247,1, Graduate, Yes,76000,293000,14,690,139000,40000,300000,91000, Approved
1248,1, Graduate, Yes,10000,32000,4,888,20000,15000,22000,13000, Approved
1249,2, Not Graduate, Yes,82000,272000,10,839,92000,64000,255000,60000, Approved
1250,5, Not Graduate, Yes,36000,124000,8,333,88000,10000,107000,40000, Rejected
1251,5, Graduate, No,94000,237000,18,862,215000,35000,224000,56000, Approved
1252,5, Not Graduate, No,26000,91000,4,309,64000,14000,59000,34000, Approved
1253,5, Not Graduate, No,95000,307000,10,823,163000,37000,303000,131000, Approved
1254,0, Graduate, Yes,35000,117000,14,649,27000,7000,114000,48000, Approved
1255,5, Not Graduate, Yes,98000,357000,10,726,94000,189000,312000,120000, Approved
1256,4, Graduate, No,8000,31000,18,712,4000,7000,19000,11000, Approved
1257,0, Not Graduate, No,97000,373000,20,701,121000,162000,241000,105000, Approved
1258,3, Graduate, No,62000,213000,12,655,65000,116000,192000,50000, Approved
1259,1, Not Graduate, Yes,44000,166000,18,385,8000,53000,134000,51000, Rejected
1260,2, Graduate, No,18000,38000,4,777,51000,27000,46000,14000, Approved
1261,3, Graduate, No,17000,53000,14,696,3000,7000,45000,8000, Approved
1262,3, Graduate, No,39000,141000,16,496,25000,22000,137000,29000, Rejected
1263,2, Graduate, Yes,22000,79000,6,659,34000,18000,86000,24000, Approved
1264,3, Not Graduate, Yes,63000,177000,2,542,168000,9000,164000,53000, Rejected
1265,2, Not Graduate, No,22000,87000,18,729,39000,33000,76000,13000, Approved
1266,1, Graduate, No,81000,284000,6,744,203000,105000,218000,77000, Approved
1267,4, Not Graduate, No,68000,170000,2,749,180000,38000,271000,94000, Approved
1268,0, Graduate, No,47000,148000,20,755,123000,50000,154000,37000, Approved
1269,3, Graduate, Yes,22000,53000,2,506,16000,17000,58000,28000, Rejected
1270,3, Graduate, Yes,35000,130000,6,391,61000,35000,133000,43000, Rejected
1271,1, Not Graduate, Yes,35000,116000,10,898,31000,27000,90000,45000, Approved
1272,5, Not Graduate, No,5000,15000,12,527,1000,6000,11000,2000, Rejected
1273,5, Not Graduate, No,99000,358000,20,470,95000,184000,391000,147000, Rejected
1274,1, Graduate, No,84000,250000,12,694,53000,149000,230000,77000, Approved
1275,1, Graduate, No,50000,188000,14,325,131000,57000,128000,43000, Rejected
1276,4, Not Graduate, Yes,55000,134000,10,880,3000,8000,199000,28000, Approved
1277,5, Graduate, Yes,30000,119000,14,459,60000,48000,117000,42000, Rejected
1278,3, Not Graduate, Yes,94000,214000,10,323,51000,155000,296000,113000, Rejected
1279,4, Graduate, No,76000,290000,8,739,221000,81000,221000,88000, Approved
1280,0, Not Graduate, Yes,55000,163000,10,724,119000,15000,119000,62000, Approved
1281,1, Graduate, No,31000,74000,18,487,84000,12000,92000,45000, Rejected
1282,3, Graduate, No,77000,277000,4,439,139000,75000,271000,62000, Approved
1283,2, Graduate, No,98000,254000,2,655,199000,46000,213000,79000, Approved
1284,3, Not Graduate, No,32000,92000,14,443,33000,11000,72000,45000, Rejected
1285,2, Graduate, No,7000,26000,20,489,1000,2000,24000,9000, Rejected
1286,4, Not Graduate, Yes,31000,86000,14,427,31000,38000,99000,37000, Rejected
1287,0, Graduate, Yes,45000,105000,20,417,98000,20000,96000,58000, Rejected
1288,5, Not Graduate, Yes,89000,248000,18,842,162000,50000,200000,81000, Approved
1289,3, Not Graduate, No,59000,232000,2,307,155000,100000,211000,63000, Approved
1290,2, Not Graduate, No,15000,45000,18,428,45000,12000,56000,11000, Rejected
1291,4, Not Graduate, Yes,63000,152000,16,415,155000,18000,207000,79000, Rejected
1292,3, Not Graduate, Yes,65000,182000,20,405,104000,28000,213000,67000, Rejected
1293,4, Graduate, No,80000,315000,18,683,103000,79000,301000,96000, Approved
1294,1, Graduate, Yes,33000,106000,14,742,3000,6000,84000,45000, Approved
1295,4, Not Graduate, No,39000,100000,10,530,109000,2000,123000,19000, Rejected
1296,3, Graduate, No,16000,35000,10,844,45000,22000,52000,16000, Approved
1297,2, Not Graduate, Yes,39000,139000,18,715,50000,56000,99000,21000, Approved
1298,3, Graduate, Yes,80000,263000,12,476,217000,66000,164000,90000, Rejected
1299,2, Graduate, No,22000,48000,6,721,18000,1000,69000,22000, Approved
1300,4, Not Graduate, No,76000,303000,12,339,204000,80000,222000,58000, Rejected
1301,5, Not Graduate, Yes,27000,68000,6,461,45000,20000,82000,17000, Rejected
1302,2, Graduate, Yes,63000,232000,12,556,70000,83000,242000,53000, Approved
1303,3, Not Graduate, No,77000,187000,8,483,151000,56000,246000,102000, Rejected
1304,2, Graduate, No,45000,172000,18,406,41000,63000,138000,33000, Rejected
1305,2, Graduate, Yes,94000,248000,14,513,242000,182000,372000,75000, Rejected
1306,0, Not Graduate, No,46000,126000,16,574,34000,62000,151000,36000, Approved
1307,0, Graduate, Yes,52000,157000,6,692,38000,70000,128000,55000, Approved
1308,5, Graduate, Yes,80000,298000,18,867,177000,141000,228000,92000, Approved
1309,1, Not Graduate, Yes,99000,385000,2,875,196000,29000,202000,65000, Approved
1310,4, Graduate, Yes,85000,186000,10,597,166000,32000,210000,116000, Approved
1311,2, Graduate, Yes,49000,120000,20,513,142000,81000,183000,48000, Rejected
1312,3, Graduate, Yes,70000,242000,2,354,182000,70000,159000,79000, Approved
1313,2, Not Graduate, No,96000,259000,18,647,118000,99000,356000,115000, Approved
1314,1, Graduate, No,97000,237000,6,875,115000,144000,381000,104000, Approved
1315,1, Graduate, No,62000,143000,20,819,75000,117000,167000,43000, Approved
1316,4, Not Graduate, Yes,41000,96000,10,521,119000,71000,141000,49000, Rejected
1317,0, Graduate, Yes,61000,199000,20,761,45000,37000,127000,71000, Approved
1318,0, Graduate, No,7000,19000,18,572,14000,10000,20000,3000, Approved
1319,3, Graduate, No,64000,241000,12,571,190000,115000,132000,75000, Approved
1320,4, Graduate, Yes,38000,78000,20,891,46000,70000,143000,33000, Approved
1321,1, Not Graduate, No,49000,148000,12,895,86000,82000,183000,52000, Approved
1322,2, Graduate, No,21000,66000,20,580,38000,41000,62000,21000, Approved
1323,2, Graduate, No,62000,234000,8,605,100000,108000,218000,92000, Approved
1324,4, Not Graduate, No,16000,51000,8,705,24000,8000,51000,19000, Approved
1325,1, Not Graduate, Yes,13000,50000,20,423,9000,8000,39000,16000, Rejected
1326,5, Not Graduate, Yes,73000,225000,2,846,98000,47000,203000,57000, Approved
1327,2, Not Graduate, No,21000,50000,4,542,7000,6000,66000,31000, Rejected
1328,5, Not Graduate, No,6000,24000,18,631,6000,3000,21000,9000, Approved
1329,4, Graduate, No,70000,245000,18,318,43000,17000,163000,36000, Rejected
1330,1, Not Graduate, Yes,30000,68000,10,541,58000,57000,107000,29000, Rejected
1331,1, Graduate, No,9000,29000,20,782,0,15000,35000,8000, Approved
1332,2, Graduate, No,96000,350000,2,888,126000,65000,379000,58000, Approved
1333,0, Graduate, No,15000,36000,14,747,2000,14000,30000,12000, Approved
1334,0, Graduate, Yes,50000,189000,6,641,43000,85000,196000,67000, Approved
1335,3, Graduate, Yes,5000,17000,4,640,4000,7000,13000,2000, Approved
1336,4, Not Graduate, No,76000,281000,12,324,125000,85000,199000,111000, Rejected
1337,4, Graduate, No,55000,212000,20,359,42000,53000,186000,64000, Rejected
1338,0, Not Graduate, Yes,66000,233000,12,338,24000,8000,189000,93000, Rejected
1339,0, Graduate, No,14000,32000,14,384,31000,8000,34000,20000, Rejected
1340,5, Not Graduate, Yes,88000,266000,16,545,191000,166000,304000,76000, Rejected
1341,5, Not Graduate, No,62000,242000,18,610,102000,78000,196000,83000, Approved
1342,2, Graduate, Yes,83000,279000,18,840,126000,35000,191000,92000, Approved
1343,3, Not Graduate, No,24000,81000,6,630,51000,29000,91000,23000, Approved
1344,1, Graduate, No,91000,312000,4,508,128000,117000,311000,78000, Approved
1345,0, Not Graduate, Yes,95000,349000,4,535,8000,141000,256000,140000, Approved
1346,1, Graduate, No,12000,34000,20,717,31000,15000,25000,9000, Approved
1347,2, Graduate, Yes,77000,193000,8,735,12000,19000,238000,104000, Approved
1348,5, Graduate, Yes,78000,220000,20,528,58000,88000,247000,49000, Rejected
1349,0, Graduate, Yes,94000,200000,4,350,33000,14000,372000,47000, Rejected
1350,0, Not Graduate, No,17000,57000,12,422,34000,11000,65000,9000, Rejected
1351,5, Graduate, No,40000,137000,6,496,-1000,14000,158000,37000, Rejected
1352,4, Not Graduate, No,42000,155000,18,794,73000,7000,134000,22000, Approved
1353,2, Graduate, No,24000,77000,6,719,60000,17000,67000,16000, Approved
1354,3, Not Graduate, Yes,27000,61000,14,630,39000,28000,106000,23000, Approved
1355,3, Not Graduate, Yes,6000,18000,4,843,14000,3000,17000,4000, Approved
1356,2, Graduate, No,46000,156000,2,764,77000,15000,160000,58000, Approved
1357,3, Graduate, No,72000,177000,4,662,131000,115000,163000,53000, Approved
1358,0, Not Graduate, No,47000,155000,16,311,128000,2000,175000,27000, Rejected
1359,4, Not Graduate, No,43000,101000,2,606,99000,18000,89000,55000, Approved
1360,5, Graduate, No,47000,102000,16,874,108000,77000,111000,70000, Approved
1361,4, Not Graduate, Yes,87000,300000,4,370,176000,156000,346000,121000, Approved
1362,1, Graduate, No,70000,205000,10,414,197000,75000,207000,51000, Rejected
1363,2, Not Graduate, No,6000,11000,10,800,12000,2000,23000,9000, Approved
1364,1, Not Graduate, No,68000,169000,12,779,138000,102000,234000,44000, Approved
1365,1, Not Graduate, No,64000,141000,20,553,117000,45000,200000,36000, Approved
1366,4, Not Graduate, No,76000,299000,18,445,48000,139000,184000,57000, Rejected
1367,3, Not Graduate, No,90000,214000,8,496,164000,73000,318000,125000, Rejected
1368,0, Graduate, Yes,24000,59000,10,650,51000,37000,53000,23000, Approved
1369,3, Not Graduate, No,68000,179000,6,783,200000,98000,236000,55000, Approved
1370,5, Graduate, Yes,35000,135000,10,535,31000,57000,125000,31000, Rejected
1371,4, Graduate, Yes,89000,340000,20,415,135000,31000,336000,128000, Rejected
1372,0, Not Graduate, No,60000,153000,8,709,89000,17000,164000,35000, Approved
1373,3, Not Graduate, No,7000,25000,14,819,16000,10000,21000,9000, Approved
1374,0, Not Graduate, Yes,68000,173000,18,841,105000,86000,160000,87000, Approved
1375,4, Not Graduate, Yes,53000,107000,12,700,158000,19000,205000,29000, Approved
1376,1, Graduate, Yes,14000,42000,4,881,28000,12000,51000,13000, Approved
1377,2, Graduate, Yes,14000,46000,4,804,19000,22000,52000,7000, Approved
1378,4, Not Graduate, No,92000,217000,6,653,227000,46000,294000,86000, Approved
1379,1, Graduate, Yes,79000,292000,2,663,196000,121000,286000,101000, Approved
1380,0, Not Graduate, No,45000,175000,10,495,103000,35000,97000,62000, Rejected
1381,1, Not Graduate, No,38000,98000,8,335,1000,51000,142000,18000, Rejected
1382,5, Graduate, Yes,15000,49000,6,618,34000,10000,32000,9000, Approved
1383,3, Not Graduate, No,12000,24000,12,480,30000,1000,31000,17000, Rejected
1384,4, Not Graduate, No,17000,49000,18,843,48000,22000,62000,18000, Approved
1385,4, Graduate, No,52000,141000,16,483,118000,8000,192000,27000, Rejected
1386,1, Not Graduate, No,16000,51000,12,548,22000,27000,36000,8000, Rejected
1387,4, Graduate, Yes,66000,160000,16,379,65000,126000,247000,45000, Rejected
1388,5, Not Graduate, Yes,94000,266000,20,771,102000,126000,369000,117000, Approved
1389,4, Graduate, Yes,3000,5000,2,353,6000,1000,12000,4000, Rejected
1390,5, Not Graduate, No,46000,115000,16,668,65000,31000,102000,55000, Approved
1391,3, Not Graduate, Yes,61000,213000,2,387,71000,31000,163000,41000, Approved
1392,0, Not Graduate, Yes,15000,41000,12,789,36000,16000,58000,13000, Approved
1393,0, Graduate, Yes,4000,9000,2,855,-1000,5000,13000,4000, Approved
1394,0, Not Graduate, No,87000,336000,14,751,71000,137000,228000,70000, Approved
1395,3, Not Graduate, No,70000,216000,12,739,16000,76000,245000,84000, Approved
1396,4, Graduate, No,47000,131000,14,492,10000,45000,141000,64000, Rejected
1397,4, Not Graduate, Yes,76000,238000,16,896,37000,45000,154000,64000, Approved
1398,1, Not Graduate, Yes,92000,245000,4,545,257000,0,206000,133000, Rejected
1399,5, Not Graduate, No,94000,368000,20,891,139000,166000,193000,89000, Approved
1400,0, Graduate, No,48000,151000,6,848,13000,3000,188000,35000, Approved
1401,3, Not Graduate, Yes,6000,24000,12,884,6000,8000,14000,6000, Approved
1402,3, Graduate, Yes,49000,143000,14,439,103000,56000,174000,51000, Rejected
1403,3, Graduate, Yes,33000,85000,12,586,75000,51000,78000,39000, Approved
1404,3, Graduate, Yes,91000,188000,20,308,145000,102000,205000,48000, Rejected
1405,5, Graduate, No,61000,235000,16,300,3000,7000,228000,48000, Rejected
1406,3, Graduate, Yes,84000,196000,2,741,215000,2000,187000,83000, Approved
1407,4, Graduate, No,79000,314000,8,698,165000,114000,287000,51000, Approved
1408,2, Not Graduate, Yes,61000,223000,10,733,121000,97000,172000,56000, Approved
1409,3, Not Graduate, Yes,20000,42000,16,571,17000,39000,58000,13000, Approved
1410,3, Graduate, Yes,99000,299000,20,490,105000,91000,271000,74000, Rejected
1411,2, Not Graduate, No,95000,254000,16,451,190000,29000,338000,114000, Rejected
1412,4, Graduate, Yes,19000,68000,6,559,36000,22000,62000,12000, Approved
1413,4, Graduate, Yes,69000,214000,10,577,125000,22000,149000,63000, Approved
1414,2, Not Graduate, Yes,15000,50000,4,613,44000,13000,52000,21000, Approved
1415,4, Not Graduate, No,19000,38000,20,785,10000,6000,61000,15000, Approved
1416,0, Graduate, Yes,23000,60000,8,690,55000,29000,60000,20000, Approved
1417,2, Not Graduate, No,78000,171000,14,351,190000,72000,193000,71000, Rejected
1418,4, Not Graduate, No,4000,10000,10,447,0,3000,9000,3000, Rejected
1419,0, Graduate, Yes,94000,192000,20,708,212000,163000,234000,132000, Approved
1420,2, Graduate, No,91000,217000,12,549,255000,110000,347000,122000, Rejected
1421,1, Graduate, Yes,90000,188000,8,797,41000,94000,229000,75000, Approved
1422,4, Not Graduate, No,71000,143000,14,537,137000,104000,182000,61000, Rejected
1423,3, Graduate, No,8000,25000,12,828,17000,0,15000,7000, Approved
1424,0, Graduate, Yes,45000,96000,14,471,32000,77000,110000,36000, Rejected
1425,5, Graduate, No,85000,254000,4,336,85000,12000,306000,90000, Rejected
1426,3, Not Graduate, Yes,25000,98000,16,424,47000,32000,58000,13000, Rejected
1427,2, Graduate, No,15000,33000,18,440,8000,23000,30000,18000, Rejected
1428,0, Not Graduate, No,62000,173000,8,583,37000,39000,136000,33000, Approved
1429,1, Not Graduate, Yes,13000,29000,6,480,29000,3000,29000,14000, Rejected
1430,5, Not Graduate, No,66000,258000,10,670,46000,72000,206000,85000, Approved
